stop_name,routes,latitude,longitude,cluster
Άγ. Χαράλαμπος,"['301', '302']",38.222362,21.730616,36
Θουκυδίδου,"['301', '302']",38.222326,21.732743,36
24ο Δημοτικο Σχολείο Πατρών,"['301', '302']",38.221294,21.735108,36
Ανθείας,"['301', '302']",38.220789,21.73717,36
Αφετηρία Ζαρουχλέικα,"['301', '302']",38.218488,21.736867,36
Βασιλόπουλος,['302'],38.21633,21.735387,36
Νεάπολη,['302'],38.215118,21.734036,55
Συνεταιρισμός Ταξί,['302'],38.212336,21.730797,55
Κουνινιώτη,['302'],38.209652,21.728851,55
Άγιος Σπυρίδωνας,['302'],38.208064,21.727422,55
22ο Δημοτικό Σχολείο Πατρών,['302'],38.205545,21.725439,55
Παπαθωμά,['303'],38.222837,21.730227,36
Ιουλιανού,['303'],38.230132,21.73492,12
Αγίας Τριάδας,['303'],38.235707,21.736964,84
Parking Τροχαίας,"['303', '609']",38.261248,21.750992,38
Θεοδότου,['303'],38.262806,21.747475,91
Τυρταίου,['303'],38.264513,21.748682,92
Μ. Κύκκου,['303'],38.206819,21.723181,6
Βυρσοδεψείο,['303'],38.207856,21.720817,6
Pirelli,['303'],38.209454,21.717393,7
Άγιος Γεώργιος,['303'],38.212011,21.718765,6
Κέκροπος,['303'],38.210178,21.722002,6
Εντελβάις,['303'],38.209045,21.725374,55
Κολοκοτρώνη,['401'],38.247446,21.738748,73
Α' ΔΟΥ Πατρών,['401'],38.247228,21.738266,73
Αρχαίο Ωδείο,['401'],38.242891,21.73816,21
ΙΚΑ,['401'],38.2408,21.743089,1
4ο ΓΕΛ Πατρών,['401'],38.241705,21.74869,1
Πλατεία Αρόης,['401'],38.2423,21.753489,0
Συνταγματάρχη Ζήση,['401'],38.243482,21.757021,81
Αγίου Στεφάνου,['401'],38.242983,21.758628,81
Σαμακιά,['401'],38.241621,21.760357,81
Διονύσου,['401'],38.240651,21.760164,81
Τέρμα Αρόης,"['401', '402']",38.240104,21.761838,81
Ναυπάκτου,['402'],38.243764,21.752467,1
Παυλοπούλου,['402'],38.244645,21.75133,1
Άρτας,['402'],38.24341,21.749639,1
Μεσσάτιδος,['402'],38.242501,21.747796,1
Αφετηρία Όθωνος Αμαλίας & Καρόλου,"['501', '502', '606', '607', '608', '801', '803', '901']",38.252761,21.736821,30
ΟΣΕ,"['501', '502', '606', '607', '608', '801', '803', '111', '118']",38.24973,21.735346,74
Ερμού,"['501', '502', '801', '803']",38.247377,21.735202,75
Ακτή Δυμαίων & Παπαφλέσσα,"['501', '502', '118']",38.240889,21.726282,61
ΔΕΗ,"['501', '502', '118']",38.238063,21.725668,60
Ακτή Δυμαίων & Β. Ηπείρου,"['501', '502', '118']",38.233135,21.724673,59
ΔΕΥΑΠ,"['501', '502', '118']",38.229295,21.723724,72
Πτωχοκομείο,"['501', '502', '118']",38.226724,21.722776,72
Σφαγεία,"['501', '502', '118']",38.221894,21.720644,72
NISSAN Σπηλιόπουλος,"['501', '502']",38.216347,21.718937,6
Ποτάμι Γλαύκος,"['501', '502']",38.213976,21.717705,6
Εργατικές Κατοικίες Ιτιές,"['501', '502']",38.211844,21.716586,7
Λεύκα,"['501', '502']",38.21048,21.715131,7
Κόκκινος Μύλος,"['501', '502']",38.207582,21.711448,67
Μαραγκοπούλου,"['501', '502']",38.204806,21.709209,67
Εύα,"['501', '502']",38.203391,21.706002,67
Μπεκίρη,"['501', '502']",38.20233,21.702885,67
ΠΙΚΠΑ,"['501', '502']",38.200373,21.700281,67
Τζιλιάνου Σπύρου,"['501', '502']",38.198746,21.698139,35
Ι.Ν. Παναγίας Παραλίας,"['501', '502']",38.196819,21.696556,35
Δημαρχείο Παραλίας,"['501', '502']",38.194403,21.694494,35
Γεφυράκι Τσαούση,"['501', '502']",38.193306,21.693078,35
Ακταίον,"['501', '502']",38.191655,21.691451,35
Τσαούση,"['501', '502']",38.190126,21.690453,35
Φανάρι,"['501', '502']",38.185987,21.689154,4
Κηπουργού,"['501', '502']",38.183815,21.688221,4
Άγ. Κωνσταντίνος Ροϊτίκων,['501'],38.180385,21.68653,4
Εργοστάσιο Πλαστικών,['501'],38.177663,21.683647,86
Διασταύρωση Θρασ. Τσατσά,['501'],38.173743,21.680748,86
