stop_name,latitude,longitude,description
Λοχαγού Φωτόπουλου,38.225747,21.763297,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα
Νεκροταφείο Εγλυκάδας,38.22588,21.766064,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>105 Πλαζ
Αφετηρία Ρομάντζα,38.273077,21.743447,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα<br>104 Τερψιθέα
Σύνορα - ΚΕΤΧ,38.238266,21.751486,Εξυπηρετεί τις γραμμές:<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα
Δούρος,38.238422,21.754535,Εξυπηρετεί τις γραμμές:<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα
409 Στρατιωτικό Νοσοκομείο,38.237709,21.755466,Εξυπηρετεί τις γραμμές:<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα
Προφήτης Ηλίας,38.236336,21.759061,Εξυπηρετεί τις γραμμές:<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα
Οδός Γηροκομείου,38.235719,21.760643,Εξυπηρετεί τις γραμμές:<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα
Παπάκου,38.235258,21.762303,Εξυπηρετεί τις γραμμές:<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα
Στροφές,38.234472,21.763717,Εξυπηρετεί τις γραμμές:<br>102 Διάκου
Νοσημάτων Θώρακος,38.234938,21.766834,Εξυπηρετεί τις γραμμές:<br>102 Διάκου
Λυκόχωρος 1,38.235417,21.768323,Εξυπηρετεί τις γραμμές:<br>102 Διάκου
Λυκόχωρος 2,38.235548,21.770036,Εξυπηρετεί τις γραμμές:<br>102 Διάκου
Λυκόχωρος - Πηγή,38.23465,21.771911,Εξυπηρετεί τις γραμμές:<br>102 Διάκου
Λυκόχωρος - Adams,38.233669,21.774183,Εξυπηρετεί τις γραμμές:<br>102 Διάκου
Τέρμα Λυκόχωρος,38.233939,21.776324,Εξυπηρετεί τις γραμμές:<br>102 Διάκου
Στροφή Λυκόχωρου,38.235777,21.766324,Εξυπηρετεί τις γραμμές:<br>102 Διάκου
Μονή Γηροκομείου,38.236424,21.765914,Εξυπηρετεί τις γραμμές:<br>102 Διάκου
Μέριμνα,38.237923,21.764985,Εξυπηρετεί τις γραμμές:<br>102 Διάκου
Τέρμα Διάκου,38.238982,21.763344,Εξυπηρετεί τις γραμμές:<br>102 Διάκου<br>104 Τερψιθέα
46ο Δημ. Σχολείο Πατρών,38.233764,21.76295,Εξυπηρετεί τη γραμμή:<br>103 Ρωμανού - Ελεκίστρα
Στροφή Εγλυκάδας,38.23234,21.764175,Εξυπηρετεί τη γραμμή:<br>103 Ρωμανού - Ελεκίστρα
Τζόλλας,38.228824,21.771332,Εξυπηρετεί τη γραμμή:<br>103 Ρωμανού - Ελεκίστρα
Στροφή Τζόλλα,38.22777,21.774151,Εξυπηρετεί τη γραμμή:<br>103 Ρωμανού - Ελεκίστρα
Αγία Ειρήνη,38.227336,21.774763,Εξυπηρετεί τη γραμμή:<br>103 Ρωμανού - Ελεκίστρα
Περιμετρική,38.227994,21.776627,Εξυπηρετεί τη γραμμή:<br>103 Ρωμανού - Ελεκίστρα
Απόλαυση,38.22795,21.780763,Εξυπηρετεί τη γραμμή:<br>103 Ρωμανού - Ελεκίστρα
Ζωοδόχου Πηγής,38.228618,21.784001,Εξυπηρετεί τη γραμμή:<br>103 Ρωμανού - Ελεκίστρα
Ρωμανού 2,38.229173,21.787941,Εξυπηρετεί τη γραμμή:<br>103 Ρωμανού - Ελεκίστρα
Ρωμανού,38.22887,21.791157,Εξυπηρετεί τη γραμμή:<br>103 Ρωμανού - Ελεκίστρα
Ελεκίστρα,38.215992,21.801417,Εξυπηρετεί τις γραμμές:<br>103 Ρωμανού - Ελεκίστρα<br>104 Τερψιθέα
Ιωάννου Δαμασκηνού,38.231331,21.766683,Εξυπηρετεί τη γραμμή:<br>104 Τερψιθέα
Σύνορα,38.238403,21.750622,Εξυπηρετεί τη γραμμή:<br>104 Τερψιθέα
Πλατεία Μαρούδα,38.238677,21.744055,Εξυπηρετεί τις γραμμές:<br>104 Τερψιθέα<br>701 Κέντρο<br>804 Κέντρο
Αγ. Ανδρέου & Φιλοποίμενος,38.246153,21.731539,Εξυπηρετεί τις γραμμές:<br>104 Τερψιθέα<br>503 Κέντρο<br>118 Λιμάνι - Port
Γεροκωστοπούλου,38.247567,21.733278,Εξυπηρετεί τις γραμμές:<br>104 Τερψιθέα<br>503 Κέντρο<br>118 Λιμάνι - Port
Αγ. Ανδρέου & Κολοκοτρώνη,38.249483,21.735773,Εξυπηρετεί τις γραμμές:<br>104 Τερψιθέα<br>503 Κέντρο<br>111 Parking Τερψιθέα<br>118 Λιμάνι - Port
Υπεραστικό ΚΤΕΛ Αχαΐας,38.251223,21.73768,Εξυπηρετεί τις γραμμές:<br>104 Τερψιθέα<br>503 Κέντρο<br>609 Κέντρο<br>804 Κέντρο<br>901 Πανεπιστήμιο - Νοσοκομείο μέσω Έλλ. Στρατιώτου<br>111 Parking Τερψιθέα<br>118 Λιμάνι - Port
Αγ. Διονύσιος,38.254032,21.738559,Εξυπηρετεί τις γραμμές:<br>104 Τερψιθέα<br>901 Πανεπιστήμιο - Νοσοκομείο μέσω Έλλ. Στρατιώτου
Πεύκο,38.264262,21.745219,Εξυπηρετεί τις γραμμές:<br>104 Τερψιθέα<br>901 Πανεπιστήμιο - Νοσοκομείο μέσω Έλλ. Στρατιώτου
Νοταρά,38.268457,21.748908,Εξυπηρετεί τις γραμμές:<br>104 Τερψιθέα<br>901 Πανεπιστήμιο - Νοσοκομείο μέσω Έλλ. Στρατιώτου
Τέρμα Αρέθα,38.264778,21.761347,Εξυπηρετεί τις γραμμές:<br>201 ΤΕΙ - Ταραμπούρα<br>202 Ν. Δρόμος - Συχαινά
Αμπελόκηποι,38.265297,21.760502,Εξυπηρετεί τη γραμμή:<br>201 ΤΕΙ - Ταραμπούρα
Πλατεία Αμπελοκήπων,38.265822,21.758834,Εξυπηρετεί τη γραμμή:<br>201 ΤΕΙ - Ταραμπούρα
Πανεπιστημίου & Αρέθα,38.266064,21.756659,Εξυπηρετεί τις γραμμές:<br>201 ΤΕΙ - Ταραμπούρα<br>609 Κέντρο
Γεωργική Σχολή,38.264645,21.754793,Εξυπηρετεί τις γραμμές:<br>201 ΤΕΙ - Ταραμπούρα<br>609 Κέντρο
Ανθούπολη,38.261324,21.753358,Εξυπηρετεί τις γραμμές:<br>201 ΤΕΙ - Ταραμπούρα<br>609 Κέντρο
Α' Νεκροταφείο,38.260067,21.751479,Εξυπηρετεί τη γραμμή:<br>201 ΤΕΙ - Ταραμπούρα
Φίλιππα,38.258227,21.749348,Εξυπηρετεί τη γραμμή:<br>201 ΤΕΙ - Ταραμπούρα
Κωνσταντινουπόλεως,38.255729,21.7429,Εξυπηρετεί τις γραμμές:<br>201 ΤΕΙ - Ταραμπούρα<br>301 Ζαρουχλέικα<br>302 Λεύκα<br>609 Κέντρο<br>610 Express Κέντρο
Φαβιέρου,38.254023,21.742224,Εξυπηρετεί τις γραμμές:<br>201 ΤΕΙ - Ταραμπούρα<br>301 Ζαρουχλέικα<br>302 Λεύκα<br>609 Κέντρο<br>610 Express Κέντρο
Δικαστήρια,38.244018,21.731619,Εξυπηρετεί τις γραμμές:<br>201 ΤΕΙ - Ταραμπούρα<br>301 Ζαρουχλέικα<br>302 Λεύκα<br>501 Τσουκαλέικα - Μονοδένδρι<br>502 Μιντιλόγλι<br>610 Express Κέντρο
Τριών Ναυάρχων,38.242764,21.729931,Εξυπηρετεί τις γραμμές:<br>201 ΤΕΙ - Ταραμπούρα<br>301 Ζαρουχλέικα<br>302 Λεύκα<br>501 Τσουκαλέικα - Μονοδένδρι<br>502 Μιντιλόγλι<br>610 Express Κέντρο
Παπαφλέσσα,38.240877,21.72848,Εξυπηρετεί τη γραμμή:<br>201 ΤΕΙ - Ταραμπούρα
Ναυαρίνου,38.239644,21.729813,Εξυπηρετεί τη γραμμή:<br>201 ΤΕΙ - Ταραμπούρα
Ιεροθέου,38.23719,21.729319,Εξυπηρετεί τη γραμμή:<br>201 ΤΕΙ - Ταραμπούρα
Σκαγιοπούλειο,38.23616,21.730671,Εξυπηρετεί τη γραμμή:<br>201 ΤΕΙ - Ταραμπούρα
Απόστολος Παύλος,38.236991,21.734253,Εξυπηρετεί τη γραμμή:<br>201 ΤΕΙ - Ταραμπούρα
Πέντε Δρόμοι,38.237145,21.736082,Εξυπηρετεί τη γραμμή:<br>201 ΤΕΙ - Ταραμπούρα
Σμύρνης 1,38.237057,21.737756,Εξυπηρετεί τη γραμμή:<br>201 ΤΕΙ - Ταραμπούρα
Σμύρνης 2,38.237162,21.739783,Εξυπηρετεί τη γραμμή:<br>201 ΤΕΙ - Ταραμπούρα
Ιωνίας,38.235999,21.740006,Εξυπηρετεί τη γραμμή:<br>201 ΤΕΙ - Ταραμπούρα
Πλατεία Ελευθερίας,38.23529,21.741211,Εξυπηρετεί τη γραμμή:<br>201 ΤΕΙ - Ταραμπούρα
Πριγκηποννήσων,38.235326,21.74352,Εξυπηρετεί τη γραμμή:<br>201 ΤΕΙ - Ταραμπούρα
Νοσοκομείο Αγ. Ανδρέας,38.234976,21.746563,Εξυπηρετεί τις γραμμές:<br>201 ΤΕΙ - Ταραμπούρα<br>801 Άνω Κάτω Οβρυά - Δεμένικα - Πρ. Ηλίας803 Καλλιθέα - Θέα - Δεμένικα
Κολωνάκι,38.232381,21.744201,Εξυπηρετεί τις γραμμές:<br>201 ΤΕΙ - Ταραμπούρα<br>801 Άνω Κάτω Οβρυά - Δεμένικα - Πρ. Ηλίας<br>803 Καλλιθέα - Θέα - Δεμένικα
Άγιος Νεκτάριος,38.230161,21.742053,Εξυπηρετεί τις γραμμές:<br>201 ΤΕΙ - Ταραμπούρα<br>801 Άνω Κάτω Οβρυά - Δεμένικα - Πρ. Ηλίας<br>803 Καλλιθέα - Θέα - Δεμένικα
Πλατεία Παπανδρέου,38.228553,21.740931,Εξυπηρετεί τις γραμμές:<br>201 ΤΕΙ - Ταραμπούρα<br>801 Άνω Κάτω Οβρυά - Δεμένικα - Πρ. Ηλίας<br>803 Καλλιθέα - Θέα - Δεμένικα
Ευγενίας,38.226991,21.742099,Εξυπηρετεί τις γραμμές:<br>201 ΤΕΙ - Ταραμπούρα<br>801 Άνω Κάτω Οβρυά - Δεμένικα - Πρ. Ηλίας<br>803 Καλλιθέα - Θέα - Δεμένικα
Ψαροφάι,38.225396,21.742435,Εξυπηρετεί τις γραμμές:<br>201 ΤΕΙ - Ταραμπούρα<br>801 Άνω Κάτω Οβρυά - Δεμένικα - Πρ. Ηλίας<br>803 Καλλιθέα - Θέα - Δεμένικα
Ανάληψη,38.223709,21.74258,Εξυπηρετεί τις γραμμές:<br>201 ΤΕΙ - Ταραμπούρα<br>801 Άνω Κάτω Οβρυά - Δεμένικα - Πρ. Ηλίας<br>803 Καλλιθέα - Θέα - Δεμένικα
Μιμόζα,38.220362,21.741637,Εξυπηρετεί τις γραμμές:<br>201 ΤΕΙ - Ταραμπούρα<br>801 Άνω Κάτω Οβρυά - Δεμένικα - Πρ. Ηλίας<br>803 Καλλιθέα - Θέα - Δεμένικα
Άγιος Αιμιλιανός,38.219367,21.742989,Εξυπηρετεί τη γραμμή:<br>201 ΤΕΙ - Ταραμπούρα
Ταραμπούρα - ΤΕΙ,38.219171,21.745413,Εξυπηρετεί τις γραμμές:<br>201 ΤΕΙ - Ταραμπούρα<br>202 Ν. Δρόμος - Συχαινά
Μεγ. Αλεξάνδρου,38.2206,21.744687,Εξυπηρετεί τη γραμμή:<br>202 Ν. Δρόμος - Συχαινά
Σκύρου,38.219233,21.743659,Εξυπηρετεί τη γραμμή:<br>202 Ν. Δρόμος - Συχαινά
Φωκαίας,38.236426,21.74478,Εξυπηρετεί τη γραμμή:<br>202 Ν. Δρόμος - Συχαινά
ΚΑΠΗ,38.23777,21.739783,Εξυπηρετεί τη γραμμή:<br>202 Ν. Δρόμος - Συχαινά
Βουλγάρεως,38.23806,21.738578,Εξυπηρετεί τη γραμμή:<br>202 Ν. Δρόμος - Συχαινά
Λόντου,38.237793,21.737465,Εξυπηρετεί τη γραμμή:<br>202 Ν. Δρόμος - Συχαινά
Σολωμού,38.23631,21.730209,Εξυπηρετεί τη γραμμή:<br>202 Ν. Δρόμος - Συχαινά
Αγία Βαρβάρα,38.238605,21.730643,Εξυπηρετεί τη γραμμή:<br>202 Ν. Δρόμος - Συχαινά
Παπαφλέσσα & Κορίνθου,38.241386,21.729435,Εξυπηρετεί τις γραμμές:<br>202 Ν. Δρόμος - Συχαινά<br>303 Θερμοπυλών<br>602 Express Πανεπιστήμιο - Νοσοκομείο
Κορίνθου & Μιαούλη,38.243265,21.731886,Εξυπηρετεί τις γραμμές:<br>202 Ν. Δρόμος - Συχαινά<br>303 Θερμοπυλών<br>602 Express Πανεπιστήμιο - Νοσοκομείο
Ζαΐμη,38.248998,21.739233,Εξυπηρετεί τις γραμμές:<br>202 Ν. Δρόμος - Συχαινά<br>303 Θερμοπυλών<br>601 Πανεπιστήμιο - Νοσοκομείο<br>602 Express Πανεπιστήμιο - Νοσοκομείο<br>603 Πανεπιστήμιο - Άγ. Βασίλειος - Δημορηγόπουλο - Ρίο<br>604 Πανεπιστήμιο - Νοσοκομείο - Ρίο<br>606 Προάστιο - Καστελλόκαμπος - Porto Rio<br>607 Βούντενη - Μπάλας<br>608 Άνω Καστρίτσι
Πλατεία Πυροσβεστείου,38.251501,21.742469,Εξυπηρετεί τις γραμμές:<br>202 Ν. Δρόμος - Συχαινά<br>303 Θερμοπυλών<br>601 Πανεπιστήμιο - Νοσοκομείο<br>602 Express Πανεπιστήμιο - Νοσοκομείο<br>603 Πανεπιστήμιο - Άγ. Βασίλειος - Δημορηγόπουλο - Ρίο<br>604 Πανεπιστήμιο - Νοσοκομείο - Ρίο<br>606 Προάστιο - Καστελλόκαμπος - Porto Rio<br>607 Βούντενη - Μπάλας<br>608 Άνω Καστρίτσι
Μαράτου,38.255243,21.745956,Εξυπηρετεί τις γραμμές:<br>202 Ν. Δρόμος - Συχαινά<br>303 Θερμοπυλών<br>601 Πανεπιστήμιο - Νοσοκομείο<br>602 Express Πανεπιστήμιο - Νοσοκομείο<br>603 Πανεπιστήμιο - Άγ. Βασίλειος - Δημορηγόπουλο - Ρίο<br>604 Πανεπιστήμιο - Νοσοκομείο - Ρίο<br>606 Προάστιο - Καστελλόκαμπος - Porto Rio<br>607 Βούντενη - Μπάλας<br>608 Άνω Καστρίτσι
Κουρτέση,38.257032,21.74804,Εξυπηρετεί τις γραμμές:<br>202 Ν. Δρόμος - Συχαινά<br>303 Θερμοπυλών<br>601 Πανεπιστήμιο - Νοσοκομείο<br>602 Express Πανεπιστήμιο - Νοσοκομείο<br>603 Πανεπιστήμιο - Άγ. Βασίλειος - Δημορηγόπουλο - Ρίο<br>604 Πανεπιστήμιο - Νοσοκομείο - Ρίο<br>606 Προάστιο - Καστελλόκαμπος - Porto Rio<br>607 Βούντενη - Μπάλας<br>608 Άνω Καστρίτσι
Μειλίχου 1,38.265875,21.756742,Εξυπηρετεί τις γραμμές:<br>202 Ν. Δρόμος - Συχαινά<br>607 Βούντενη - Μπάλας
Μειλίχου 2,38.264841,21.758909,Εξυπηρετεί τις γραμμές:<br>202 Ν. Δρόμος - Συχαινά<br>607 Βούντενη - Μπάλας
Ολύμπιον,38.264328,21.760212,Εξυπηρετεί τις γραμμές:<br>202 Ν. Δρόμος - Συχαινά<br>607 Βούντενη - Μπάλας
Τέρμα Θερμοπυλών,38.264537,21.750184,Εξυπηρετεί τις γραμμές:<br>301 Ζαρουχλέικα<br>302 Λεύκα
Θερμοπυλών,38.263217,21.749661,Εξυπηρετεί τις γραμμές:<br>301 Ζαρουχλέικα<br>302 Λεύκα
Ευπαλίνου,38.261155,21.748628,Εξυπηρετεί τις γραμμές:<br>301 Ζαρουχλέικα<br>302 Λεύκα
Εργατικές Κατοικίες,38.259856,21.74774,Εξυπηρετεί τις γραμμές:<br>301 Ζαρουχλέικα<br>302 Λεύκα
Πέντε Πηγαδίων,38.258266,21.745932,Εξυπηρετεί τις γραμμές:<br>301 Ζαρουχλέικα<br>302 Λεύκα
Ζακύνθου & Αγ. Σοφίας,38.256434,21.745052,Εξυπηρετεί τις γραμμές:<br>301 Ζαρουχλέικα<br>302 Λεύκα
Μαιζώνος & Παπαφλέσσα,38.240656,21.727799,Εξυπηρετεί τις γραμμές:<br>301 Ζαρουχλέικα<br>302 Λεύκα<br>610 Express Κέντρο
Σμύρνης,38.238464,21.727401,Εξυπηρετεί τις γραμμές:<br>301 Ζαρουχλέικα<br>302 Λεύκα<br>610 Express Κέντρο
Γ' ΔΟΥ,38.236579,21.727076,Εξυπηρετεί τις γραμμές:<br>301 Ζαρουχλέικα<br>302 Λεύκα
Μαιζώνος & Μαξίμου,38.234145,21.726781,Εξυπηρετεί τις γραμμές:<br>301 Ζαρουχλέικα<br>302 Λεύκα
Κορίνθου,38.233362,21.727826,Εξυπηρετεί τις γραμμές:<br>301 Ζαρουχλέικα<br>302 Λεύκα
Μεσολογγίου,38.233932,21.733344,Εξυπηρετεί τις γραμμές:<br>301 Ζαρουχλέικα<br>302 Λεύκα
Βύρωνος,38.235104,21.735824,Εξυπηρετεί τις γραμμές:<br>301 Ζαρουχλέικα<br>302 Λεύκα
13ο Δημοτικό Σχολείο Πατρών,38.234805,21.73735,Εξυπηρετεί τις γραμμές:<br>301 Ζαρουχλέικα<br>302 Λεύκα
Ελλησπόντου,38.233162,21.736709,Εξυπηρετεί τις γραμμές:<br>301 Ζαρουχλέικα<br>302 Λεύκα
